RouteNumber,lat,lon
210302,38.61796666,-75.42016664
210702,38.63929997,-75.26979996
250304,30.6178889,-83.96727779
250406,30.337186863636365,-82.59244444545455
350116,38.41756536363636,-85.82542563636363
350116,38.41756536363636,-85.82542563636363
350116,38.41756536363636,-85.82542563636363
350511,39.9253503,-85.67635626363636
350511,39.9253503,-85.67635626363636
350610,40.093305,-86.07524
350814,38.36154682,-87.42202211
360219,41.422594000000004,-91.826787
360416,41.533127307692304,-94.40292976923077
360417,41.436325,-93.802854
360511,42.511886000000004,-92.200741
360511,42.511886000000004,-92.200741
440109,45.1276487,-69.26109770000001
440113,44.0358347,-70.60459279999999
440209,45.27699,-69.18514
440315,44.58528,-69.01912
440415,44.3579,-68.77565
440508,45.90384,-70.08204
440516,44.64649,-67.53717161538462
460107,38.771025,-76.617839
460107,38.771025,-76.617839
460107,38.771025,-76.617839
460307,38.520495,-76.116504
460405,39.391002,-75.914061
460501,39.54936,-79.230341
460508,38.275666,-75.304642
460508,38.275666,-75.304642
460604,39.455113,-76.450078
460703,39.24123,-77.093389
460703,39.24123,-77.093389
460703,39.24123,-77.093389
460704,39.564356000000004,-76.894608
460706,38.679513,-76.802226
470403,42.30292,-71.70318
470503,42.176159999999996,-71.27045
500132,44.8090702,-95.2820803
500133,44.8041306,-94.0122399
500135,44.4158203,-92.9047599
500180,44.8554496,-93.19559029999999
500180,44.8554496,-93.19559029999999
500215,47.2800401,-94.05095
500235,44.3929405,-92.7626296
500271,48.3289196,-95.93637989999999
500271,48.3289196,-95.93637989999999
500332,45.0682,-95.04821
500413,47.4392696,-96.7991493
500422,45.977569599999995,-94.0717896
500429,45.2083202,-93.47726060000001
500541,43.757738076923076,-92.00420015384616
500635,44.4819794,-92.3332099
500729,45.1944499,-93.7455886
500822,46.3737701,-94.19151169999999
500834,44.6572998,-93.5190309
501434,44.921609600000004,-93.4676
520118,37.741308,-93.822337
580107,42.780635,-72.42534166
580107,42.780635,-72.42534166
580203,44.382931660000004,-71.45446
580304,43.2949815,-72.1095919
580304,43.2949815,-72.1095919
580805,43.19711333,-71.12653667
590605,40.31632501,-74.10127834
591005,40.58611,-74.60142
591805,40.455083,-74.882417
591905,40.269806,-74.653861
592105,40.08854667,-74.58372167
592305,40.731001,-74.307556
610323,41.81618626363636,-73.77666023636364
610323,41.81618626363636,-73.77666023636364
610422,41.7733661,-74.1042526
610523,41.326251383333336,-73.88145945
610620,42.5420659,-73.56538789999999
610723,41.242291,-73.7795962
610822,41.6521283,-74.21555359999999
610823,41.33593114666667,-73.63177318666666
610823,41.33593114666667,-73.63177318666666
610823,41.33593114666667,-73.63177318666666
610920,42.1145,-73.638988
610920,42.1145,-73.638988
611122,41.9397776,-74.1729399
630110,35.1816538,-83.12262750000001
630210,35.1879689,-82.9597718
630211,35.30341226,-82.87656536
630224,34.6265867,-77.5917555
630224,34.6265867,-77.5917555
630323,34.22763668,-78.71849001
630510,35.04919444,-83.21027777
630810,35.330863,-83.225204
630923,34.4229498,-78.2102922
720111,40.70317968,-79.81413607
720214,40.07689997,-77.13228331
800107,34.613803759999996,-81.54751885
800407,34.39245822,-81.39863346
800507,34.62563104,-81.48450734
820403,36.542136,-87.17334
880104,38.74476,-78.04117
880110,37.22451,-80.292884
880319,36.910008,-80.43209
880417,36.96130556,-82.00972222
880417,36.96130556,-82.00972222
880417,36.96130556,-82.00972222
880504,38.28,-78.92314999999999
881113,37.05683334,-77.70844446
881404,38.8314388,-78.1241637
881404,38.8314388,-78.1241637
881604,38.24847,-78.59603
900405,39.0792796,-79.4690605
