RouteNumber,SurveyYear,intensity,onset_DOY,lat,lon
460304,2002,onset_2,86,39.540627,-76.30536599999999
460304,2002,onset_3,86,39.540627,-76.30536599999999
460307,1999,onset_3,97,38.520495,-76.116504
460307,2002,onset_1,136,38.520495,-76.116504
460307,2002,onset_3,121,38.520495,-76.116504
460405,2002,onset_1,135,39.391002,-75.914061
460407,2002,onset_2,121,38.82359636363636,-76.10371
460501,2002,onset_3,190,39.54936,-79.230341
460501,2003,onset_2,93,39.54936,-79.230341
460501,2003,onset_3,93,39.54936,-79.230341
460501,2004,onset_1,85,39.54936,-79.230341
460501,2004,onset_2,98,39.54936,-79.230341
460505,2002,onset_2,78,39.096028,-76.030313
460505,2002,onset_3,78,39.096028,-76.030313
460505,2003,onset_2,150,39.096028,-76.030313
460505,2003,onset_3,150,39.096028,-76.030313
460508,2001,onset_1,158,38.275666,-75.304642
460508,2001,onset_2,169,38.275666,-75.304642
460508,2001,onset_3,169,38.275666,-75.304642
460508,2002,onset_1,135,38.275666,-75.304642
460508,2008,onset_2,136,38.275666,-75.304642
460604,2001,onset_2,115,39.455113,-76.450078
460604,2001,onset_3,115,39.455113,-76.450078
460604,2002,onset_1,178,39.455113,-76.450078
460604,2002,onset_2,71,39.455113,-76.450078
460604,2002,onset_3,71,39.455113,-76.450078
460703,2001,onset_1,170,39.24123,-77.093389
460703,2001,onset_3,153,39.24123,-77.093389
460703,2002,onset_1,162,39.24123,-77.093389
460703,2002,onset_2,136,39.24123,-77.093389
460703,2002,onset_3,136,39.24123,-77.093389
460703,2003,onset_1,156,39.24123,-77.093389
460703,2003,onset_2,177,39.24123,-77.093389
460703,2004,onset_3,133,39.24123,-77.093389
460703,2009,onset_2,120,39.24123,-77.093389
460703,2009,onset_3,120,39.24123,-77.093389
460704,2002,onset_2,73,39.564356000000004,-76.894608
460704,2002,onset_3,73,39.564356000000004,-76.894608
460704,2012,onset_1,125,39.564356000000004,-76.894608
460704,2012,onset_2,125,39.564356000000004,-76.894608
460704,2012,onset_3,125,39.564356000000004,-76.894608
460706,2002,onset_3,120,38.679513,-76.802226
460706,2005,onset_1,141,38.679513,-76.802226
460706,2005,onset_2,141,38.679513,-76.802226
460706,2005,onset_3,141,38.679513,-76.802226
460804,2002,onset_3,79,39.366033,-76.962125
460804,2004,onset_2,134,39.366033,-76.962125
470204,2005,onset_2,155,42.635046700000004,-70.8642701
470306,2010,onset_2,150,41.660832,-70.4336522
470306,2010,onset_3,150,41.660832,-70.4336522
470403,2010,onset_1,176,42.30292,-71.70318
470503,2004,onset_1,189,42.176159999999996,-71.27045
500109,2003,onset_3,144,47.9144302,-91.8876198
500116,2014,onset_3,142,46.9604603,-93.7787103
500117,2003,onset_3,140,47.160989300000004,-92.3296295
500119,2015,onset_2,192,47.8288613,-90.2354004
500122,2003,onset_3,148,46.5026201,-94.6574907
500132,2010,onset_1,137,44.8090702,-95.2820803
500133,2009,onset_1,141,44.8041306,-94.0122399
500135,2014,onset_1,145,44.4158203,-92.9047599
500180,2005,onset_1,120,44.8554496,-93.19559029999999
500180,2005,onset_2,120,44.8554496,-93.19559029999999
500180,2014,onset_1,143,44.8554496,-93.19559029999999
500194,2002,onset_3,150,47.395489500000004,-94.6978593
500195,2013,onset_3,150,46.1324196,-94.4093201
500197,2003,onset_3,137,47.5402802,-94.6004402
500209,2013,onset_3,166,47.957205745454544,-91.53215140909091
500214,1999,onset_2,141,47.6395003,-95.4699396
500214,1999,onset_3,141,47.6395003,-95.4699396
500214,2002,onset_2,148,47.6395003,-95.4699396
500214,2002,onset_3,148,47.6395003,-95.4699396
500215,2000,onset_1,174,47.2800401,-94.05095
500215,2000,onset_2,174,47.2800401,-94.05095
500216,2002,onset_2,178,47.2101998,-93.1628617
500216,2002,onset_3,178,47.2101998,-93.1628617
500235,1999,onset_1,171,44.3929405,-92.7626296
500271,2008,onset_1,151,48.3289196,-95.93637989999999
500271,2008,onset_2,151,48.3289196,-95.93637989999999
500271,2008,onset_3,151,48.3289196,-95.93637989999999
500271,2014,onset_1,148,48.3289196,-95.93637989999999
500271,2014,onset_2,148,48.3289196,-95.93637989999999
500271,2014,onset_3,148,48.3289196,-95.93637989999999
500291,2015,onset_3,171,44.8815904,-93.6855102
500306,2000,onset_3,142,48.6758994,-94.60096060000001
500317,2000,onset_3,123,47.4505501,-92.8133797
500321,2011,onset_2,141,46.68524572727273,-95.68151881818181
500332,2011,onset_1,184,45.0682,-95.04821
500336,2003,onset_3,143,44.12933325,-91.83540825
500336,2005,onset_3,140,44.12933325,-91.83540825
500411,2010,onset_3,140,47.9194698,-89.8161507
500413,2005,onset_1,153,47.4392696,-96.7991493
500422,2011,onset_1,120,45.977569599999995,-94.0717896
500422,2011,onset_2,120,45.977569599999995,-94.0717896
500422,2011,onset_3,120,45.977569599999995,-94.0717896
500427,2002,onset_2,151,46.0208904,-95.1111603
500429,2000,onset_1,184,45.2083202,-93.47726060000001
500508,2002,onset_2,125,48.1590696,-92.4463104
500508,2002,onset_3,125,48.1590696,-92.4463104
500515,2000,onset_3,144,47.485164181818185,-94.78036336363637
500541,2003,onset_1,156,43.757738076923076,-92.00420015384616
