RouteNumber,year,first
500834,2008.0,110
501434,2008.0,110
520118,2008.0,62
580107,2008.0,107
580107,2008.0,107
580203,2008.0,111
580304,2008.0,110
580304,2008.0,110
580805,2008.0,108
590605,2008.0,64
591005,2008.0,68
591805,2008.0,68
591905,2008.0,64
592105,2008.0,64
592305,2008.0,74
610323,2008.0,98
610323,2008.0,98
610422,2008.0,99
610523,2008.0,86
610620,2008.0,102
610723,2008.0,86
610822,2008.0,99
610823,2008.0,92
610823,2008.0,92
610823,2008.0,92
610920,2008.0,102
610920,2008.0,102
611122,2008.0,101
630110,2008.0,53
630210,2008.0,49
630211,2008.0,62
630224,2008.0,36
630224,2008.0,36
630323,2008.0,36
630510,2008.0,48
630810,2008.0,43
630923,2008.0,36
720111,2008.0,92
720214,2008.0,78
800107,2008.0,38
800407,2008.0,37
800507,2008.0,38
820403,2008.0,39
880104,2008.0,49
880110,2008.0,48
880319,2008.0,51
880417,2008.0,57
880417,2008.0,57
880417,2008.0,57
880504,2008.0,49
881113,2008.0,38
881404,2008.0,63
881404,2008.0,63
881604,2008.0,48
900405,2008.0,92
210302,2009.0,43
210702,2009.0,43
250304,2009.0,41
250406,2009.0,41
350116,2009.0,56
350116,2009.0,56
350116,2009.0,56
350511,2009.0,66
350511,2009.0,66
350610,2009.0,65
350814,2009.0,43
360219,2009.0,75
360416,2009.0,76
360417,2009.0,76
360511,2009.0,81
360511,2009.0,81
440109,2009.0,114
440113,2009.0,107
440209,2009.0,115
440315,2009.0,109
440415,2009.0,108
440508,2009.0,118
440516,2009.0,110
460107,2009.0,44
460107,2009.0,44
460107,2009.0,44
460307,2009.0,43
460405,2009.0,59
460501,2009.0,68
460508,2009.0,43
460508,2009.0,43
460604,2009.0,66
460703,2009.0,65
460703,2009.0,65
460703,2009.0,65
460704,2009.0,66
460706,2009.0,50
470403,2009.0,87
470503,2009.0,87
500132,2009.0,104
500133,2009.0,104
500135,2009.0,102
500180,2009.0,99
500180,2009.0,99
500215,2009.0,108
500235,2009.0,103
500271,2009.0,110
500271,2009.0,110
500332,2009.0,105
