RouteNumber,year,first
210302,1997.0,51
210702,1997.0,51
250304,1997.0,35
250406,1997.0,35
350116,1997.0,52
350116,1997.0,52
350116,1997.0,52
350511,1997.0,69
350511,1997.0,69
350610,1997.0,68
350814,1997.0,53
360219,1997.0,80
360416,1997.0,85
360417,1997.0,83
360511,1997.0,89
360511,1997.0,89
440109,1997.0,120
440113,1997.0,110
440209,1997.0,121
440315,1997.0,113
440415,1997.0,111
440508,1997.0,138
440516,1997.0,116
460107,1997.0,51
460107,1997.0,51
460107,1997.0,51
460307,1997.0,51
460405,1997.0,52
460501,1997.0,80
460508,1997.0,51
460508,1997.0,51
460604,1997.0,53
460703,1997.0,53
460703,1997.0,53
460703,1997.0,53
460704,1997.0,57
460706,1997.0,52
470403,1997.0,89
470503,1997.0,85
500132,1997.0,108
500133,1997.0,95
500135,1997.0,94
500180,1997.0,94
500180,1997.0,94
500215,1997.0,113
500235,1997.0,94
500271,1997.0,117
500271,1997.0,117
500332,1997.0,109
500413,1997.0,114
500422,1997.0,109
500429,1997.0,95
500541,1997.0,93
500635,1997.0,94
500729,1997.0,103
500822,1997.0,111
500834,1997.0,94
501434,1997.0,95
520118,1997.0,59
580107,1997.0,97
580107,1997.0,97
580203,1997.0,117
580304,1997.0,111
580304,1997.0,111
580805,1997.0,97
590605,1997.0,53
591005,1997.0,59
591805,1997.0,59
591905,1997.0,58
592105,1997.0,57
592305,1997.0,59
610323,1997.0,87
610323,1997.0,87
610422,1997.0,87
610523,1997.0,86
610620,1997.0,94
610723,1997.0,86
610822,1997.0,87
610823,1997.0,87
610823,1997.0,87
610823,1997.0,87
610920,1997.0,93
610920,1997.0,93
611122,1997.0,88
630110,1997.0,57
630210,1997.0,53
630211,1997.0,58
630224,1997.0,36
630224,1997.0,36
630323,1997.0,37
630510,1997.0,58
630810,1997.0,50
630923,1997.0,36
720111,1997.0,78
720214,1997.0,61
800107,1997.0,38
800407,1997.0,36
800507,1997.0,38
820403,1997.0,50
880104,1997.0,53
880110,1997.0,55
880319,1997.0,59
880417,1997.0,52
880417,1997.0,52
880417,1997.0,52
880504,1997.0,57
881113,1997.0,51
881404,1997.0,55
881404,1997.0,55
