RouteNumber,year,first
500834,1999.0,91
501434,1999.0,92
520118,1999.0,40
580107,1999.0,98
580107,1999.0,98
580203,1999.0,123
580304,1999.0,109
580304,1999.0,109
580805,1999.0,97
590605,1999.0,76
591005,1999.0,81
591805,1999.0,83
591905,1999.0,77
592105,1999.0,76
592305,1999.0,87
610323,1999.0,92
610323,1999.0,92
610422,1999.0,92
610523,1999.0,90
610620,1999.0,94
610723,1999.0,89
610822,1999.0,92
610823,1999.0,90
610823,1999.0,90
610823,1999.0,90
610920,1999.0,92
610920,1999.0,92
611122,1999.0,94
630110,1999.0,42
630210,1999.0,42
630211,1999.0,43
630224,1999.0,36
630224,1999.0,36
630323,1999.0,36
630510,1999.0,41
630810,1999.0,41
630923,1999.0,36
720111,1999.0,91
720214,1999.0,88
800107,1999.0,38
800407,1999.0,38
800507,1999.0,38
820403,1999.0,39
880104,1999.0,62
880110,1999.0,47
880319,1999.0,43
880417,1999.0,42
880417,1999.0,42
880417,1999.0,42
880504,1999.0,59
881113,1999.0,39
881404,1999.0,76
881404,1999.0,76
881604,1999.0,59
900405,1999.0,93
210302,2000.0,56
210702,2000.0,56
250304,2000.0,41
250406,2000.0,40
350116,2000.0,55
350116,2000.0,55
350116,2000.0,55
350511,2000.0,57
350511,2000.0,57
350610,2000.0,57
350814,2000.0,55
360219,2000.0,58
360416,2000.0,58
360417,2000.0,57
360511,2000.0,60
360511,2000.0,60
440109,2000.0,107
440113,2000.0,107
440209,2000.0,111
440315,2000.0,96
440415,2000.0,93
440508,2000.0,127
440516,2000.0,93
460107,2000.0,57
460107,2000.0,57
460107,2000.0,57
460307,2000.0,57
460405,2000.0,60
460501,2000.0,67
460508,2000.0,56
460508,2000.0,56
460604,2000.0,60
460703,2000.0,58
460703,2000.0,58
460703,2000.0,58
460704,2000.0,59
460706,2000.0,57
470403,2000.0,85
470503,2000.0,76
500132,2000.0,67
500133,2000.0,67
500135,2000.0,67
500180,2000.0,67
500180,2000.0,67
500215,2000.0,92
500235,2000.0,67
500271,2000.0,96
500271,2000.0,96
500332,2000.0,68
500413,2000.0,84
500422,2000.0,83
500429,2000.0,68
500541,2000.0,66
500635,2000.0,67
500729,2000.0,68
500822,2000.0,84
500834,2000.0,67
501434,2000.0,68
520118,2000.0,53
580107,2000.0,88
580107,2000.0,88
580203,2000.0,125
580304,2000.0,95
580304,2000.0,95
580805,2000.0,87
