RouteNumber,year,first
210302,2006.0,48
210702,2006.0,48
250304,2006.0,36
250406,2006.0,35
350116,2006.0,60
350116,2006.0,60
350116,2006.0,60
350511,2006.0,71
350511,2006.0,71
350610,2006.0,70
350814,2006.0,60
360219,2006.0,89
360416,2006.0,89
360417,2006.0,88
360511,2006.0,93
360511,2006.0,93
440109,2006.0,103
440113,2006.0,102
440209,2006.0,103
440315,2006.0,102
440415,2006.0,98
440508,2006.0,120
440516,2006.0,99
460107,2006.0,65
460107,2006.0,65
460107,2006.0,65
460307,2006.0,55
460405,2006.0,69
460501,2006.0,72
460508,2006.0,48
460508,2006.0,48
460604,2006.0,70
460703,2006.0,69
460703,2006.0,69
460703,2006.0,69
460704,2006.0,70
460706,2006.0,62
470403,2006.0,89
470503,2006.0,83
500132,2006.0,96
500133,2006.0,97
500135,2006.0,97
500180,2006.0,97
500180,2006.0,97
500215,2006.0,102
500235,2006.0,97
500271,2006.0,103
500271,2006.0,103
500332,2006.0,96
500413,2006.0,101
500422,2006.0,100
500429,2006.0,97
500541,2006.0,97
500635,2006.0,97
500729,2006.0,99
500822,2006.0,101
500834,2006.0,96
501434,2006.0,97
520118,2006.0,58
580107,2006.0,91
580107,2006.0,91
580203,2006.0,105
580304,2006.0,102
580304,2006.0,102
580805,2006.0,91
590605,2006.0,70
591005,2006.0,71
591805,2006.0,71
591905,2006.0,70
592105,2006.0,70
592305,2006.0,72
610323,2006.0,86
610323,2006.0,86
610422,2006.0,88
610523,2006.0,73
610620,2006.0,90
610723,2006.0,73
610822,2006.0,88
610823,2006.0,83
610823,2006.0,83
610823,2006.0,83
610920,2006.0,88
610920,2006.0,88
611122,2006.0,90
630110,2006.0,61
630210,2006.0,62
630211,2006.0,69
630224,2006.0,38
630224,2006.0,38
630323,2006.0,38
630510,2006.0,61
630810,2006.0,61
630923,2006.0,38
720111,2006.0,72
720214,2006.0,71
800107,2006.0,47
800407,2006.0,42
800507,2006.0,46
820403,2006.0,55
880104,2006.0,69
880110,2006.0,68
880319,2006.0,61
880417,2006.0,61
880417,2006.0,61
880417,2006.0,61
880504,2006.0,69
881113,2006.0,48
881404,2006.0,69
881404,2006.0,69
881604,2006.0,69
900405,2006.0,89
210302,2007.0,71
